[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:24] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:25] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:26] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:27] Angle:   0.0° | Speed: 1.000 | 199 km/h
[21:51:27] Angle: 146.8° | Speed: 0.866 | 173 km/h
[21:51:27] Angle: 146.8° | Speed: 0.760 | 151 km/h
[21:51:27] Angle: 146.8° | Speed: 0.674 | 134 km/h
[21:51:27] Angle: 146.8° | Speed: 0.606 | 121 km/h
[21:51:27] Angle: 146.8° | Speed: 0.551 | 110 km/h
[21:51:27] Angle: 146.8° | Speed: 0.507 | 101 km/h
[21:51:27] Angle: 146.8° | Speed: 0.472 |  94 km/h
[21:51:28] Angle: 146.8° | Speed: 0.444 |  88 km/h
[21:51:28] Angle: 146.8° | Speed: 0.422 |  84 km/h
[21:51:28] Angle: 146.8° | Speed: 0.404 |  80 km/h
[21:51:28] Angle: 146.8° | Speed: 0.390 |  77 km/h
[21:51:28] Angle: 146.8° | Speed: 0.378 |  75 km/h
[21:51:28] Angle: 146.8° | Speed: 0.369 |  73 km/h
