[21:49:26] Angle: 155.3° | Speed: 0.237 |  47 km/h
[21:49:26] Angle: 160.0° | Speed: 0.236 |  47 km/h
[21:49:27] Angle: 166.1° | Speed: 0.225 |  45 km/h
[21:49:27] Angle: 168.1° | Speed: 0.214 |  42 km/h
[21:49:27] Angle: 172.3° | Speed: 0.198 |  39 km/h
[21:49:27] Angle: 176.9° | Speed: 0.179 |  35 km/h
[21:49:27] Angle: 180.8° | Speed: 0.157 |  31 km/h
[21:49:27] Angle: 185.0° | Speed: 0.133 |  26 km/h
[21:49:27] Angle: 189.5° | Speed: 0.108 |  21 km/h
[21:49:27] Angle: 194.0° | Speed: 0.086 |  17 km/h
[21:49:27] Angle: 197.9° | Speed: 0.069 |  13 km/h
[21:49:28] Angle: 197.0° | Speed: 0.055 |  11 km/h
[21:49:28] Angle: 195.9° | Speed: 0.044 |   8 km/h
[21:49:28] Angle: 194.0° | Speed: 0.035 |   7 km/h
[21:49:28] Angle: 192.8° | Speed: 0.028 |   5 km/h
[21:49:28] Angle: 191.1° | Speed: 0.023 |   4 km/h
[21:49:28] Angle: 190.2° | Speed: 0.018 |   3 km/h
[21:49:28] Angle: 188.5° | Speed: 0.017 |   3 km/h
[21:49:28] Angle: 187.5° | Speed: 0.017 |   3 km/h
[21:49:28] Angle: 185.8° | Speed: 0.020 |   4 km/h
[21:49:29] Angle: 184.1° | Speed: 0.025 |   5 km/h
[21:49:29] Angle: 183.3° | Speed: 0.031 |   6 km/h
[21:49:29] Angle: 181.6° | Speed: 0.037 |   7 km/h
[21:49:29] Angle: 180.8° | Speed: 0.044 |   8 km/h
[21:49:29] Angle: 179.2° | Speed: 0.052 |  10 km/h
[21:49:29] Angle: 177.6° | Speed: 0.061 |  12 km/h
[21:49:29] Angle: 176.9° | Speed: 0.069 |  13 km/h
[21:49:29] Angle: 176.0° | Speed: 0.076 |  15 km/h
[21:49:30] Angle: 174.5° | Speed: 0.085 |  16 km/h
[21:49:30] Angle: 173.1° | Speed: 0.094 |  18 km/h
[21:49:30] Angle: 172.2° | Speed: 0.103 |  20 km/h
[21:49:30] Angle: 171.4° | Speed: 0.111 |  22 km/h
[21:49:30] Angle: 169.9° | Speed: 0.119 |  23 km/h
[21:49:30] Angle: 168.5° | Speed: 0.129 |  25 km/h
[21:49:30] Angle: 167.9° | Speed: 0.137 |  27 km/h
[21:49:30] Angle: 167.3° | Speed: 0.144 |  28 km/h
[21:49:30] Angle: 166.1° | Speed: 0.152 |  30 km/h
[21:49:31] Angle: 165.6° | Speed: 0.159 |  31 km/h
[21:49:31] Angle: 164.7° | Speed: 0.166 |  33 km/h
[21:49:31] Angle: 164.1° | Speed: 0.173 |  34 km/h
[21:49:31] Angle: 163.6° | Speed: 0.179 |  35 km/h
[21:49:31] Angle: 160.6° | Speed: 0.188 |  37 km/h
[21:49:31] Angle: 160.0° | Speed: 0.197 |  39 km/h
[21:49:31] Angle: 159.3° | Speed: 0.205 |  40 km/h
[21:49:31] Angle: 158.6° | Speed: 0.212 |  42 km/h
[21:49:32] Angle: 157.3° | Speed: 0.220 |  44 km/h
[21:49:32] Angle: 156.0° | Speed: 0.228 |  45 km/h
[21:49:32] Angle: 155.0° | Speed: 0.237 |  47 km/h
[21:49:32] Angle: 157.9° | Speed: 0.239 |  47 km/h
[21:49:32] Angle: 160.6° | Speed: 0.236 |  47 km/h
[21:49:32] Angle: 160.0° | Speed: 0.235 |  47 km/h
[21:49:32] Angle: 159.3° | Speed: 0.235 |  47 km/h
[21:49:32] Angle: 157.9° | Speed: 0.238 |  47 km/h
[21:49:32] Angle: 157.3° | Speed: 0.240 |  48 km/h
[21:49:33] Angle: 156.0° | Speed: 0.245 |  48 km/h
[21:49:33] Angle: 155.0° | Speed: 0.250 |  49 km/h
[21:49:33] Angle: 156.3° | Speed: 0.252 |  50 km/h
[21:49:33] Angle: 156.3° | Speed: 0.253 |  50 km/h
[21:49:33] Angle: 154.9° | Speed: 0.257 |  51 km/h
[21:49:33] Angle: 154.0° | Speed: 0.261 |  52 km/h
[21:49:33] Angle: 153.1° | Speed: 0.265 |  53 km/h
[21:49:33] Angle: 153.1° | Speed: 0.269 |  53 km/h
[21:49:34] Angle: 149.6° | Speed: 0.277 |  55 km/h
[21:49:34] Angle: 149.0° | Speed: 0.285 |  56 km/h
[21:49:34] Angle: 148.4° | Speed: 0.292 |  58 km/h
[21:49:34] Angle: 147.3° | Speed: 0.299 |  59 km/h
[21:49:34] Angle: 146.7° | Speed: 0.306 |  61 km/h
[21:49:34] Angle: 146.3° | Speed: 0.312 |  62 km/h
[21:49:34] Angle: 145.7° | Speed: 0.318 |  63 km/h
[21:49:34] Angle: 144.8° | Speed: 0.324 |  64 km/h
[21:49:34] Angle: 144.2° | Speed: 0.329 |  65 km/h
[21:49:35] Angle: 143.3° | Speed: 0.335 |  67 km/h
[21:49:35] Angle: 142.7° | Speed: 0.341 |  68 km/h
[21:49:35] Angle: 141.8° | Speed: 0.347 |  69 km/h
[21:49:35] Angle: 141.2° | Speed: 0.353 |  70 km/h
[21:49:35] Angle: 140.8° | Speed: 0.358 |  71 km/h
[21:49:35] Angle: 139.8° | Speed: 0.363 |  72 km/h
[21:49:35] Angle: 139.3° | Speed: 0.369 |  73 km/h
[21:49:35] Angle: 138.8° | Speed: 0.374 |  74 km/h
[21:49:36] Angle: 137.9° | Speed: 0.379 |  75 km/h
[21:49:36] Angle: 137.4° | Speed: 0.384 |  76 km/h
[21:49:36] Angle: 136.9° | Speed: 0.389 |  77 km/h
[21:49:36] Angle: 136.4° | Speed: 0.394 |  78 km/h
[21:49:36] Angle: 136.0° | Speed: 0.398 |  79 km/h
[21:49:36] Angle: 135.5° | Speed: 0.402 |  80 km/h
[21:49:36] Angle: 134.5° | Speed: 0.407 |  81 km/h
[21:49:36] Angle: 134.5° | Speed: 0.411 |  82 km/h
[21:49:36] Angle: 133.1° | Speed: 0.416 |  83 km/h
[21:49:37] Angle: 133.1° | Speed: 0.421 |  84 km/h
[21:49:37] Angle: 132.2° | Speed: 0.425 |  85 km/h
[21:49:37] Angle: 132.2° | Speed: 0.429 |  85 km/h
[21:49:37] Angle: 131.7° | Speed: 0.433 |  86 km/h
[21:49:37] Angle: 131.2° | Speed: 0.437 |  87 km/h
[21:49:37] Angle: 130.7° | Speed: 0.441 |  88 km/h
[21:49:37] Angle: 130.3° | Speed: 0.444 |  88 km/h
[21:49:37] Angle: 129.8° | Speed: 0.448 |  89 km/h
[21:49:38] Angle: 129.4° | Speed: 0.452 |  90 km/h
[21:49:38] Angle: 128.5° | Speed: 0.456 |  91 km/h
[21:49:38] Angle: 128.0° | Speed: 0.460 |  92 km/h
[21:49:38] Angle: 127.5° | Speed: 0.464 |  92 km/h
[21:49:38] Angle: 127.1° | Speed: 0.468 |  93 km/h
[21:49:38] Angle: 127.1° | Speed: 0.471 |  94 km/h
[21:49:38] Angle: 126.6° | Speed: 0.475 |  94 km/h
[21:49:38] Angle: 126.1° | Speed: 0.478 |  95 km/h
[21:49:38] Angle: 125.7° | Speed: 0.481 |  96 km/h
[21:49:39] Angle: 125.2° | Speed: 0.485 |  96 km/h
[21:49:39] Angle: 124.8° | Speed: 0.488 |  97 km/h
[21:49:39] Angle: 124.2° | Speed: 0.492 |  98 km/h
[21:49:39] Angle: 124.2° | Speed: 0.495 |  98 km/h
[21:49:39] Angle: 123.9° | Speed: 0.497 |  99 km/h
[21:49:39] Angle: 123.0° | Speed: 0.501 | 100 km/h
[21:49:39] Angle: 123.0° | Speed: 0.504 | 100 km/h
[21:49:39] Angle: 122.1° | Speed: 0.508 | 101 km/h
[21:49:40] Angle: 121.7° | Speed: 0.511 | 102 km/h
[21:49:40] Angle: 122.1° | Speed: 0.513 | 102 km/h
[21:49:40] Angle: 121.2° | Speed: 0.517 | 103 km/h
[21:49:40] Angle: 121.0° | Speed: 0.519 | 103 km/h
[21:49:40] Angle: 120.6° | Speed: 0.522 | 104 km/h
[21:49:40] Angle: 120.6° | Speed: 0.525 | 104 km/h
[21:49:40] Angle: 120.1° | Speed: 0.527 | 105 km/h
[21:49:40] Angle: 119.7° | Speed: 0.530 | 105 km/h
[21:49:41] Angle: 119.5° | Speed: 0.532 | 106 km/h
[21:49:41] Angle: 119.2° | Speed: 0.535 | 106 km/h
[21:49:41] Angle: 118.6° | Speed: 0.538 | 107 km/h
[21:49:41] Angle: 118.3° | Speed: 0.540 | 108 km/h
[21:49:41] Angle: 118.3° | Speed: 0.543 | 108 km/h
[21:49:41] Angle: 117.7° | Speed: 0.545 | 109 km/h
[21:49:41] Angle: 117.4° | Speed: 0.548 | 109 km/h
[21:49:41] Angle: 117.1° | Speed: 0.550 | 110 km/h
[21:49:41] Angle: 116.9° | Speed: 0.553 | 110 km/h
[21:49:42] Angle: 116.9° | Speed: 0.555 | 110 km/h
[21:49:42] Angle: 116.6° | Speed: 0.557 | 111 km/h
[21:49:42] Angle: 116.0° | Speed: 0.559 | 111 km/h
[21:49:42] Angle: 116.0° | Speed: 0.561 | 112 km/h
[21:49:42] Angle: 116.1° | Speed: 0.563 | 112 km/h
[21:49:42] Angle: 116.1° | Speed: 0.564 | 112 km/h
[21:49:42] Angle: 116.1° | Speed: 0.565 | 112 km/h
[21:49:42] Angle: 116.1° | Speed: 0.566 | 113 km/h
[21:49:43] Angle: 116.1° | Speed: 0.566 | 113 km/h
[21:49:43] Angle: 116.1° | Speed: 0.567 | 113 km/h
[21:49:43] Angle: 114.3° | Speed: 0.570 | 113 km/h
[21:49:43] Angle: 114.0° | Speed: 0.573 | 114 km/h
[21:49:43] Angle: 113.8° | Speed: 0.576 | 115 km/h
[21:49:43] Angle: 113.8° | Speed: 0.578 | 115 km/h
[21:49:43] Angle: 113.6° | Speed: 0.580 | 115 km/h
[21:49:43] Angle: 113.6° | Speed: 0.581 | 116 km/h
[21:49:43] Angle: 113.6° | Speed: 0.583 | 116 km/h
[21:49:44] Angle: 113.6° | Speed: 0.584 | 116 km/h
[21:49:44] Angle: 113.6° | Speed: 0.585 | 116 km/h
[21:49:44] Angle: 112.3° | Speed: 0.587 | 117 km/h
[21:49:44] Angle: 112.3° | Speed: 0.589 | 117 km/h
[21:49:44] Angle: 113.4° | Speed: 0.589 | 117 km/h
[21:49:44] Angle: 113.4° | Speed: 0.589 | 117 km/h
[21:49:44] Angle: 113.0° | Speed: 0.590 | 117 km/h
[21:49:44] Angle: 111.6° | Speed: 0.593 | 118 km/h
[21:49:45] Angle: 111.6° | Speed: 0.595 | 118 km/h
[21:49:45] Angle: 110.0° | Speed: 0.599 | 119 km/h
[21:49:45] Angle: 110.0° | Speed: 0.602 | 120 km/h
[21:49:45] Angle: 110.0° | Speed: 0.605 | 120 km/h
[21:49:45] Angle: 109.8° | Speed: 0.607 | 121 km/h
[21:49:45] Angle: 109.8° | Speed: 0.609 | 121 km/h
[21:49:45] Angle: 109.8° | Speed: 0.611 | 122 km/h
[21:49:45] Angle: 109.6° | Speed: 0.612 | 122 km/h
[21:49:46] Angle: 109.6° | Speed: 0.614 | 122 km/h
[21:49:46] Angle: 109.4° | Speed: 0.615 | 122 km/h
[21:49:46] Angle: 109.4° | Speed: 0.616 | 123 km/h
[21:49:46] Angle: 108.6° | Speed: 0.618 | 123 km/h
[21:49:46] Angle: 108.6° | Speed: 0.620 | 123 km/h
[21:49:46] Angle: 108.4° | Speed: 0.621 | 124 km/h
[21:49:46] Angle: 108.4° | Speed: 0.622 | 124 km/h
[21:49:46] Angle: 108.3° | Speed: 0.624 | 124 km/h
[21:49:46] Angle: 108.3° | Speed: 0.625 | 124 km/h
[21:49:47] Angle: 108.1° | Speed: 0.626 | 125 km/h
[21:49:47] Angle: 108.1° | Speed: 0.627 | 125 km/h
[21:49:47] Angle: 107.9° | Speed: 0.628 | 125 km/h
[21:49:47] Angle: 107.9° | Speed: 0.628 | 125 km/h
[21:49:47] Angle: 107.9° | Speed: 0.629 | 125 km/h
[21:49:47] Angle: 108.1° | Speed: 0.629 | 125 km/h
[21:49:47] Angle: 108.1° | Speed: 0.629 | 125 km/h
